양파피클,서,
흑미밥,밥,
새송이버섯야채볶음,서,
쇠고기불고기,메,
계란장조림,서,
쇠고기덮밥,밥,
순두부국,국,
오징어채간장볶음,서,
삼치순살튀김,메,
찰보리비빔밥,밥,
시금치국,국,
갑오징어야채볶음,메,
삶은계란,서,
가지볶음,서,
명태순살조림,메,
배추된장무침,서,
모듬쌈,서,
"풋고추,된장",서,
치킨너겟강정,메,
생선묵찌개,국,
잡채,서,
꽁치김치조림,메,
과일1,서,
돈육표고장조림,메,
꽈리고추멸치볶음,서,
두부강정,메,
해물된장찌개,국,
게맛살볶음,메,
쭈꾸미볶음,메,
임시,예,
버섯된장찌개,국,
돼지고기가지볶음,메,
닭순살피망볶음,메,
햄김치찌개,국,
제육볶음,메,
버섯잡채,서,
데리야끼갈릭치킨,메,
깻잎볶음,서,
고등어순살조림,메,
고등어카레튀김,메,
돼지고기수육,메,
버섯매운탕,국,
우엉조림,서,
무두부조개탕,국,
감자풋고추볶음,서,
꽈리고추찜,서,
강된장찌개,국,
콩나물매운잡채,서,
전복삼계탕,국,
돼지고기육개장,국,
조밥,밥,
감자된장국,국,
갈치순살튀김,메,
돼지고기청경채볶음,메,
과일,서,
생선묵김치찌개,국,
대구매운탕,국,
닭고기야채조림,메,
낙지볶음,메,
피망잡채,서,
쇠고기호박찌개,국,
두부김치국,국,
표고버섯돼지고기볶음,메,
쇠고기버섯볶음,메,
깻잎찜,서,
비빔밥,밥,
마파두부덮밥,밥,
쇠고기갈비찜,메,
건새우아욱된장국,국,
가지무침,서,
조개국,국,
도라지오이무침,서,
된장국,국,
생선묵꽈리고추볶음,서,
감자채볶음,서,
치킨샐러드,메,
명태순살강정,메,
순두부해물찌개,국,
쇠고기팽이버섯떡볶음,메,
돼지갈비김치찜,국,
오이고추장무침,서,
모듬야채,서,
쇠고기파프리카볶음,메,
순두부계란찜,서,
팽이버섯국,국,
닭매운찜,메,
소시지찌개,국,
해물찌개,국,
버섯호박볶음,서,
꽁치튀김,메,
뱅어포구이,메,
삼겹살구이,메,
전투식량2형2식단,예외,
볶음밥,밥,
방어순살조림,메,
콩나물두부국,국,
닭고기튀김,메,
두부고추장볶음,메,
닭고기감자조림,메,
오리갈릭구이칠리소스,메,
부추겉절이,서,
쇠고기배추볶음,메,
비엔나소시지케찹볶음,메,
매운소시지떡볶음,메,
생선묵고추장볶음,메,
마늘쫑무침,서,
전투식량2형3식단,예외,
콩나물밥,밥,
과일샐러드C505:과일샐러드대,서,
굴튀김,메,
연근튀김,서,
파전,메,
오징어야채비빔밥,밥,
오리들깨탕,국,
깐풍고등어,메,
느타리버섯국,국,
호박고추장찌개,국,
생선묵김치볶음,메,
새우튀김,메,
오징어찌개,국,
피망멸치볶음,서,
버섯강정,메,
연두부양념장,서,
새우살브로콜리볶음,메,
쑥갓상추겉절이,서,
쇠고기두부찜,메인,
배추쇠고기국,국,
오이양파짱아찌,서브,
브로콜리돼지고기볶음,메인,
열무된장국,국,
상추쌈&저염쌈장,서,
쇠고기감자국,국,
오징어콩나물국,국,
부추표고버섯볶음,서,
닭고기매운조림,메,
주꾸미미나리초무침,메,
마늘소스돼지고기강정,메,
비빔당면,메,
닭고기카레볶음,메,
미나리콩나물무침,서,
생선묵콩나물볶음,메,
야채삼겹살볶음,메,
주꾸미덮밥,밥,
미역오이냉국,국,
소시지케찹볶음,메,
멸치마요비빔소스,서,
장어순살강정,메,
오이풋고추된장무침,서,
배추겉절이,김,
김치리조또,밥,
모듬야채&우렁강된장,서,
게맛살튀김,메,
오징어탕수,메,
야채샐러드,서,
