식품명,식품군명,1회제공량,내용량_단위,총내용량(g),총내용량(mL),에너지(㎉),단백질(g),지방(g),탄수화물(g),총당류(g),나트륨(㎎),콜레스테롤(㎎)
가자미구이,구이류,200,g,-,-,245,37.4,10,1.3,0,630.39,168.65
간장양념닭다리구이,구이류,300,g,-,-,740,68.9,46.9,10.6,13.1,1628.76,317.02
갈치구이,구이류,200,g,-,-,275,43.1,11,1.2,0,594.47,175.91
고등어구이,구이류,200,g,-,-,551,47.7,40,0.4,0.4,1210,112.67
고등어석쇠구이,구이류,200,g,-,-,679,46.7,51.4,7.6,0,252.52,106.18
굴비구이,구이류,150,g,-,-,291,28,19.9,0.1,0.4,1377.2,198.1
꽁치구이,구이류,200,g,-,-,604,49.4,43.4,4.3,0,516.7,90.51
꿩불고기,구이류,500,g,-,-,368.8,33.5,8.5,39.7,16.9,1264.31,106.18
닭갈비,구이류,400,g,-,-,595.61,45.9,25.8,44.9,21.2,1535.83,193.4
닭갈비,구이류,300,g,-,-,558.47,45.5,31.6,23.1,8.5,1016.94,217.67
닭고기대파꼬치구이,구이류,170,g,-,-,416,30.3,25,17.6,2.8,708.18,130.26
닭구이,구이류,340,g,-,-,872,89.1,45.5,26.5,0,2553.09,405.21
닭꼬치,구이류,70,g,-,-,176.723,11.562,8.565,13.348,3.152,286.911,31.444
닭발구이,구이류,220,g,-,-,431,39.9,20.7,21.3,0.7,1820.1,180.07
더덕구이,구이류,100,g,-,-,184,3.1,5.2,31.1,11.6,743.37,0.12
도미구이,구이류,250,g,-,-,397,61.1,16.5,2.1,0,1582.17,211.24
돼지갈비,구이류,100,g,-,-,240.32,19.5,14.4,8.1,4.5,404.66,49.34
돼지갈비구이,구이류,300,g,-,-,881,84.7,55.6,10.4,14.4,2211.65,215.21
게국지,국류,1100,g,-,-,415.25,44.9,12.1,31.7,10.8,4047.26,388.15
곰치국,국류,1000,g,-,-,419.29,54.3,11.8,23.9,2.8,3802.06,476.47
굴국밥,국류,650,g,-,-,683,42.4,17.8,88.4,0.3,1635.39,518.37
김치국,국류,450,g,-,-,89,5.4,2.8,10.5,2.9,1642.08,0
떡만둣국,국류,700,g,-,-,624.915,20.055,11.319,110.707,0.158,1980.19,122.423
만둣국,국류,700,g,-,-,434.05,21.429,17.445,47.832,3.048,2367.993,94.521
맑은감자국,국류,700,g,-,-,221,8.3,5.5,34.6,5.2,1712.29,5.46
매생이국,국류,500,g,-,-,119,10,2.8,13.4,0.4,1420.3,6.62
무된장국,국류,450,g,-,-,104,6.1,2.4,14.7,5.9,1741.46,0
미소된장국,국류,150,g,-,-,38,2.8,1.8,2.8,0.7,517.03,0
바지락조개국,국류,550,g,-,-,157,22,3.1,10.1,1.3,1596.17,89.36
뼈다귀해장국,국류,1000,g,-,-,714,74.6,35.7,23.4,5.7,3088.21,321.72
선지해장국,국류,1000,g,-,-,312,49.3,5.4,16.7,3.9,3074.53,230.52
소고기무국,국류,400,g,-,-,123,14.2,4,7.8,3.5,1067.02,38.43
소고기미역국,국류,650,g,-,-,151,18.1,5.3,7.7,0,1908.91,42.18
순대국,국류,800,g,-,-,540.298,43.523,33.018,17.261,0,1504.043,246.001
시래기된장국,국류,450,g,-,-,99,6.7,3.1,11,1.3,1523.66,0
올갱이국,국류,600,g,-,-,144.26,13.7,4.2,13,1.6,2017.16,85.36
우거지해장국,국류,600,g,-,-,154.38,11.9,5.9,13.5,2.5,2049.59,22.37
우렁된장국,국류,500,g,-,-,245,24.6,7.7,19.2,3.6,2134.21,105.38
탕국,국류,250,g,-,-,92.152,13.181,4.272,0.244,0.078,656.75,30.121
홍합미역국,국류,650,g,-,-,167,19.7,4.7,11.6,0,2043.68,58.4
황태해장국,국류,600,g,-,-,181.7,24.5,6.8,5.7,1.5,1533.09,150.3
고추잡채,기타,200,g,-,-,256.769,10.994,12.013,26.171,2.092,828.545,39.263
난자완스,기타,200,g,-,-,346.249,21.627,20.35,19.149,0.495,703.234,76.763
도토리묵말이,기타,1300,g,-,-,462.39,6.8,8.5,89.7,6.3,3206.03,0
라조기,기타,200,g,-,-,398.993,20.659,23.491,26.234,0.15,648.516,90.577
물회,기타,700,g,-,-,529.36,34.4,18.9,55.3,20,2095.9,120.26
생선물회,기타,800,g,-,-,577.97,34.3,12.3,82.5,52,2779.74,101.88
소고기샤브샤브,기타,600,g,-,-,263.75,29.1,9.8,14.7,2.4,1122.4,76.02
오징어순대,기타,350,g,-,-,466.86,45.7,5.6,58.3,0.4,1258.71,517.44
초당순두부,기타,900,g,-,-,522.69,49.1,29.2,15.8,0.9,1203.36,0
해파리냉채,기타,150,g,-,-,91,6.2,1.4,13.4,11.4,508.77,40.33
고들빼기,김치류,50,g,-,-,55.525,1.58,0.608,10.934,2.844,742.429,2.977
열무얼갈이김치,김치류,50,g,-,-,17.684,1.074,0.328,2.608,0.456,339.903,1.034
미나리나물,나물류,50,g,-,-,29.534,1.016,1.833,2.242,0,150.33,0
취나물,나물류,50,g,-,-,74.1,1.375,6.153,3.306,0,281.857,0
콩나물,나물류,50,g,-,-,25.344,1.68,1.65,0.944,0.02,213.95,0
경단(깨),떡류,100,g,-,-,319.466,4.442,0.536,74.219,26.64,180.002,0
경단(콩),떡류,100,g,-,-,314.324,3.513,0.461,74.031,20.55,225.828,0
기피편,떡류,100,g,-,-,219.967,5.449,0.247,48.988,2.084,281.057,0
녹두시루떡,떡류,100,g,-,-,246.07,7.738,2.534,48.077,4.048,263.663,0
메밀전병,떡류,100,g,-,-,167.827,6.185,6.289,21.62,0.619,345.805,8.049
무지개떡,떡류,100,g,-,-,228.974,3.53,0.312,53.011,8.985,276.823,0
송편(깨),떡류,100,g,-,-,224.146,4.925,2.735,44.957,1.146,231.821,0
송편(콩),떡류,100,g,-,-,194.334,5.237,0.749,41.661,1.261,233.504,0
수수부꾸미,떡류,100,g,-,-,247.892,5.729,6.287,42.099,0.235,261.002,0
수수팥떡,떡류,100,g,-,-,204.241,6.696,0.591,43.034,2.818,241.926,0
시루떡,떡류,100,g,-,-,217.481,5.466,0.607,47.539,3.222,277.907,0
쑥떡,떡류,100,g,-,-,248.635,3.359,0.404,57.889,10.725,254.32,0
절편,떡류,100,g,-,-,192.886,3.642,0.285,43.938,0.07,265.867,0.032
찹쌀떡,떡류,100,g,-,-,276.866,3.265,0.153,65.609,17.542,225.61,0
간자장,면류,650,g,-,-,824.539,22.334,22.034,134.224,12.159,2716.201,28.726
굴짬뽕,면류,900,g,-,-,680.672,32.869,9.605,115.688,1.697,2662.346,163.307
기스면,면류,1000,g,-,-,606.931,37.819,10.724,89.785,0.504,2764.588,416.545
김치라면,면류,650,g,-,-,552,13.8,16.9,86.2,1.2,2531.6,45.65
김치우동,면류,800,g,-,-,500.177,15.548,4.601,99.144,2.128,2874.602,14.128
냉김치말이국수,면류,600,g,-,-,302.53,12.9,4.8,52,8.3,2121.62,88.95
닭칼국수,면류,900,g,-,-,663,42.2,12.8,94.7,5.3,2125.17,95.67
둘깨칼국수,면류,600,g,-,-,457.88,17.6,16.5,59.8,1.4,1192.57,3.36
막국수,면류,1000,g,-,-,571.59,20,5.8,109.8,9.4,3260.05,43.17
삼선우동,면류,1000,g,-,-,691.656,47.939,8.478,105.9,0.801,2722.319,620.896
삼선자장면,면류,700,g,-,-,803.898,33.638,18.135,126.533,10.152,2628.242,166.565
삼선짬뽕,면류,900,g,-,-,662.366,39.626,10.77,101.733,1.093,2689.129,312.479
쌀국수,면류,600,g,-,-,320.32,15.6,4.2,55.1,4.3,1651.58,33.6
열무김치국수,면류,800,g,-,-,431,15,10.2,69.6,18.6,3007.45,15.37
열무냉면,면류,800,g,-,-,525.492,20.842,5.783,97.52,27.146,3152.366,67.776
오일소스스파게티,면류,400,g,-,-,646.736,19.555,23.426,89.42,1.411,1124.332,31.621
올갱이국수,면류,1500,g,-,-,566,11.2,8.3,111.6,18.6,3862.84,0
우동(일식),면류,700,g,-,-,421.514,13.39,7.906,74.199,2.483,2390.321,25.978
우동(중식),면류,1000,g,-,-,648.471,29.452,21.022,85.366,1.099,3395.857,208.42
울면,면류,1000,g,-,-,728.857,37.455,7.369,128.178,0.502,2799.918,445.791
자장면,면류,650,g,-,-,796.503,19.771,20.321,133.631,7.795,2391.581,10.756
짬뽕라면,면류,750,g,-,-,689,21.3,26.3,92,1.6,2493.81,106.69
치즈라면,면류,600,g,-,-,595,16.8,23,80,0.9,2113.4,103.67
크림소스스파게티,면류,400,g,-,-,837.57,21.794,50.594,73.763,9.173,1030.21,126.578
토마토소스스파게티,면류,500,g,-,-,642.583,24.349,19.152,93.204,15.598,1508.634,49.168
해물칼국수,면류,900,g,-,-,628.262,22.803,4.605,123.901,3.808,2355.072,26.699
해물크림소스스파게티,면류,500,g,-,-,917.569,30.394,49.789,86.973,8.356,1323.697,210.887
해물토마토소스스파게티,면류,500,g,-,-,584.438,27.974,13.73,87.243,13.483,1533.156,159.637
골뱅이무침,무침류,100,g,-,-,108.792,7.081,1.966,15.693,10.465,525.516,38.353
노각무침,무침류,150,g,-,-,84,2.6,1.8,14.3,7.1,817.37,0
단무지무침,무침류,50,g,-,-,20,0.5,0.8,2.8,0.7,428.92,0
달래나물무침,무침류,150,g,-,-,136,4,2.8,23.8,11.2,867.04,0
더덕무침,무침류,150,g,-,-,216,4.3,2.8,43.4,20.2,1246.58,0.17
도토리묵,무침류,100,g,-,-,45.598,0.292,0.324,10.377,0.433,124.147,0
밴댕이무침,무침류,400,g,-,-,600.01,29.8,33,46,27,1027.23,101.51
서대회무침,무침류,300,g,-,-,315.21,22.6,4.6,45.9,22.3,1198.9,67.71
쑥갓나물무침,무침류,150,g,-,-,96,4.5,5.7,6.6,0.3,709.99,0.05
우거지나물무침,무침류,150,g,-,-,129,4.5,8.5,8.7,1.5,772.52,1.31
쥐치채,무침류,20,g,-,-,55.917,2.754,0.147,10.895,4.553,296.343,8.574
청포묵무침,무침류,250,g,-,-,149,2.9,5.2,22.7,1.8,724.02,0
탕평채,무침류,100,g,-,-,97.496,3.552,3.807,12.256,0.395,260.396,47.244
홍어무침,무침류,200,g,-,-,198.937,17.854,2.634,25.954,14.463,802.039,57.026
고추장불고기 삼각김밥,밥류,100,g,-,-,165.289,3.661,1.578,34.112,0.205,342.922,3.509
곤드레나물밥,밥류,350,g,-,-,521.83,10.3,9.5,98.9,0,90.62,0
국밥,밥류,800,g,-,-,418.35,27.6,8.2,58.6,0.4,2301.55,47.81
농어초밥,밥류,250,g,-,-,396.743,17.433,1.336,78.747,13.008,1035.038,26.495
돼지국밥,밥류,1200,g,-,-,911.4,66.4,38.6,74.7,0,1096.58,142.55
류산슬덮밥,밥류,550,g,-,-,574.992,26.962,19.039,73.947,0.419,1579.348,120.866
멍게비빔밥,밥류,400,g,-,-,547.21,16.6,13.1,90.7,16.7,1144.8,21.9
멸치주먹밥,밥류,150,g,-,-,312,9,6.6,54.3,0.9,496.21,42.45
묵밥,밥류,950,g,-,-,642.16,14.8,7.7,128.6,15.1,2075.5,42.65
문어초밥,밥류,250,g,-,-,392.227,14.614,0.74,81.778,13.383,1200.864,70.082
비빔밥,밥류,450,g,-,-,691.62,24.6,22,98.7,18.3,1119.66,95.42
삼선볶음밥,밥류,400,g,-,-,686.108,26.237,26.461,85.754,1.582,1213.562,326.524
새우초밥,밥류,250,g,-,-,387.671,16.804,0.752,78.422,11.654,1110.293,72.645
새우튀김롤,밥류,300,g,-,-,606.504,14.467,18.168,96.281,11.144,1391.432,55.875
샐러드김밥,밥류,250,g,-,-,405.948,9.616,13.52,61.451,3.422,911.177,84.578
생선초밥(광어),밥류,300,g,-,-,453.777,27.069,3.923,77.547,7.701,808.75,46.743
생선초밥(모듬),밥류,300,g,-,-,461.966,25.423,6.061,76.431,8.649,968.94,70.875
소고기국밥,밥류,700,g,-,-,330.53,21.8,8.1,42.6,2.8,1786.31,41.85
소고기김밥,밥류,250,g,-,-,400.609,15.978,9.625,62.518,0.837,1061.187,93.085
송이덮밥,밥류,600,g,-,-,581.806,18.214,14.06,95.601,2.268,1678.009,48.196
숯불갈비 삼각김밥,밥류,100,g,-,-,161.243,3.998,1.674,32.547,0.165,358.362,4.036
약초비빔밥,밥류,400,g,-,-,511.8,11.9,15.9,80.2,2.9,971.61,0
연어롤,밥류,300,g,-,-,510.191,18.571,15.404,74.318,8.47,1211.903,61.972
연어초밥,밥류,250,g,-,-,447.318,18.883,9.738,71.037,12.882,1064.385,32.049
오곡밥,밥류,250,g,-,-,388.816,11.952,1.303,82.321,0.174,113.895,0
자장밥,밥류,500,g,-,-,741.66,15.236,22.277,120.057,5.369,1560.381,26.435
잡탕밥,밥류,750,g,-,-,777.439,44.12,20.135,104.937,0.481,2109.517,329.854
장어덮밥,밥류,400,g,-,-,716.541,30.088,22.976,97.351,5.586,920.765,234.556
장어초밥,밥류,250,g,-,-,486.26,16.52,10.828,80.681,13.674,1270.911,102.774
참치덮밥,밥류,500,g,-,-,679.101,29.201,16.73,102.931,2.983,1618.745,115.792
참치마요네즈 삼각김밥,밥류,100,g,-,-,172.397,3.941,3.202,31.953,0.022,282.103,4.409
충무김밥,밥류,400,g,-,-,583.926,23.425,5.956,109.156,17.189,1294.268,156.852
캘리포니아롤,밥류,300,g,-,-,487.639,12.33,9.046,89.227,8.904,1295.878,65.959
한치초밥,밥류,250,g,-,-,374.18,13.712,0.848,77.923,13.13,1199.31,100.063
해물덮밥,밥류,700,g,-,-,771.933,42.037,22.443,100.449,1.194,1802.681,286.237
해물볶음밥,밥류,400,g,-,-,705.217,25.105,26.996,90.459,1.222,1074.349,241.804
회덮밥,밥류,500,g,-,-,683.018,30.21,16.553,103.3,10.925,744.27,88.649
깻잎나물볶음,볶음류,200,g,-,-,206,7.5,14.4,11.5,0.6,1042.68,0
돼지고기볶음,볶음류,200,g,-,-,350.673,22.961,20.665,18.21,8.201,1051.758,57.87
돼지껍데기볶음,볶음류,150,g,-,-,352,25.8,16.7,24.5,5.5,779.81,47.75
두부김치,볶음류,250,g,-,-,288.213,19.466,17.115,14.079,1.487,989.688,13.922
머위나물볶음,볶음류,150,g,-,-,108,3.5,7,7.6,1.8,718.63,0
멸치풋고추볶음,볶음류,20,g,-,-,52.379,4.65,2.239,3.406,1.43,275.537,36.604
소세지볶음,볶음류,200,g,-,-,471,18.8,29.9,31.8,8.9,1436.06,60.26
순대볶음,볶음류,400,g,-,-,582,20.7,21.3,76.7,5.4,1500.35,141.72
양송이버섯볶음,볶음류,150,g,-,-,136,4.5,8.3,11,1.2,515.17,0
오삼불고기,볶음류,200,g,-,-,363,25.6,19.9,20.5,7.6,885.09,184.46
주꾸미볶음,볶음류,200,g,-,-,211.413,18.326,5.201,22.825,5.06,918.864,200.759
표고버섯볶음,볶음류,150,g,-,-,142,4.5,6.7,15.8,2.6,574.8,0
해물볶음,볶음류,400,g,-,-,419.06,38.2,15.3,32.2,7.4,1755.16,329.59
곰보빵,빵류,70,g,-,-,277.336,6.313,9.273,42.157,11.731,202.254,23.592
만주,빵류,70,g,-,-,222.494,5.13,1.64,46.803,22.451,118.188,15.674
버터크림빵,빵류,60,g,-,-,229.957,4.905,11.043,27.736,7.194,191.181,17.814
불고기피자,빵류,200,g,-,-,505,27.4,16.7,61.2,9.2,916.87,45.7
참치샌드위치,빵류,250,g,-,-,555,23.3,35.1,36.5,10.1,915.59,57.86
찹쌀도우넛,빵류,70,g,-,-,207.047,3.526,3.682,39.952,12.126,242.993,1.156
채소고로케,빵류,100,g,-,-,300.653,7.125,16.378,31.187,3.369,403.328,41.895
초콜릿케이크,빵류,100,g,-,-,420.243,5.315,24.955,43.597,23.129,170.001,50.839
치즈케이크,빵류,100,g,-,-,329.145,7.225,20.632,28.638,15.276,200.667,126.775
치즈피자,빵류,200,g,-,-,553,31.4,15.8,71.2,6.8,949.96,48.04
페이스트리빵,빵류,70,g,-,-,319.59,5.992,18.396,32.516,5.749,295.794,16.946
페퍼로니피자,빵류,200,g,-,-,532,29.4,14.8,70.3,7.5,945.22,41.73
포테이토피자,빵류,250,g,-,-,628,28,25.5,71.6,8.5,999.93,48.95
수정과,음료류,150,g,-,-,133.004,0.597,5.474,20.337,20.685,9.715,0
식혜,음료류,150,g,-,-,130.137,2.302,2.628,24.319,17.04,3.377,0
간장마늘쫑장아찌,장아찌류,50,g,-,-,30,1,0.5,5.4,3.9,813.64,0
고추장마늘쫑장아찌,장아찌류,50,g,-,-,55,1.3,0.9,10.5,5.6,707.34,0
매실장아찌,장아찌류,30,g,-,-,72.879,0.496,0.129,17.432,11.448,337.86,0
무장아찌,장아찌류,30,g,-,-,23.923,0.441,0.227,5.029,2.885,879.805,0.039
계적,적류,250,g,-,-,488.084,57.721,30.429,0,0,210.112,169.207
낙지꼬지,적류,80,g,-,-,75.354,13.14,1.276,2.828,0,207.067,133.747
돔베기적,적류,100,g,-,-,159.486,30.077,7.417,0,0.004,451.247,64.23
소고기산적,적류,200,g,-,-,453.075,48.41,25.568,7.331,0,1392.835,134.832
소라산적,적류,80,g,-,-,120.1,17.922,2.512,6.451,0.85,396.676,100.344
오징어산적,적류,80,g,-,-,101.709,17.375,1.977,3.603,0.916,477.106,234.248
홍어적,적류,100,g,-,-,89.153,23.592,0.66,0,0.283,323.528,96.773
홍합산적,적류,80,g,-,-,156.665,17.782,4.804,10.576,3.338,719.722,60.715
가자미전,전류,150,g,-,-,230.282,25.76,11.065,6.915,0.305,819.365,176.272
고추전,전류,150,g,-,-,274.689,12.91,17.223,17.01,2.17,362.205,78.812
굴전,전류,100,g,-,-,195,10.6,10.5,14.5,1.3,325.7,96.88
깻잎전,전류,150,g,-,-,361.099,17.736,25.776,14.543,1.061,480.149,131.796
녹두빈대떡,전류,100,g,-,-,207.942,7.945,10.27,20.934,0.101,232.047,12.484
동그랑땡(육원전),전류,150,g,-,-,309.2,19.618,20.001,12.681,0.979,553.087,103.265
동태전,전류,150,g,-,-,268.045,22.636,15.04,10.536,0.218,702.157,178.76
두부전,전류,150,g,-,-,254.643,20.458,15.868,7.499,0.025,317.153,3.279
미나리전,전류,150,g,-,-,226.413,5.239,7.617,34.227,1.74,248.704,11.885
배추전,전류,150,g,-,-,240.746,5.166,8.669,35.515,5.02,326.826,7.235
버섯전,전류,150,g,-,-,240.687,10.524,14.868,16.194,2.739,313.757,100.1
야채전,전류,100,g,-,-,194,5.4,9.5,21.6,2.4,321.52,43.15
파전,전류,150,g,-,-,292.799,6.834,14.026,34.807,0.787,345.962,46.141
햄부침,전류,100,g,-,-,244,11.3,17.1,11.3,1,715.66,72.11
호박부침개,전류,100,g,-,-,129,3.9,8.1,10.1,3.6,174.33,52.48
호박전,전류,150,g,-,-,208.104,6.478,13.09,16.096,2.847,276.953,92.525
화양적,전류,150,g,-,-,272.647,13.582,14.77,21.347,1.209,797.031,123.25
가자미조림,조림류,300,g,-,-,297.98,37.1,7.1,21.5,10.5,1692.83,227.98
고추조림,조림류,100,g,-,-,111,3.3,4.9,13.4,7.1,779.1,7.09
동태조림,조림류,250,g,-,-,276,40.8,4.7,17.4,10.2,1391.69,218.45
돼지고기메추리알장조림,조림류,50,g,-,-,63.492,8.336,1.851,3.372,1.273,582.987,47.64
북어조림,조림류,100,g,-,-,181.86,20.826,3.331,17.143,8.203,765.946,99.629
소고기메추리알장조림,조림류,50,g,-,-,60.652,8.137,1.842,2.883,0.715,602.12,41.516
조기조림,조림류,300,g,-,-,384,41.1,18.8,12.8,4.5,1771.22,228.18
게살죽,죽류,800,g,-,-,564.83,17.898,7.095,107.346,0.171,1453.824,50.156
깨죽,죽류,800,g,-,-,515.348,13.656,15.944,79.305,3.589,1160.187,0
백합죽,죽류,700,g,-,-,455.28,16.5,5.6,84.7,0,996.8,32.1
소고기버섯죽,죽류,800,g,-,-,578.278,18.747,7.465,109.026,0.262,1261.804,26.08
어죽,죽류,800,g,-,-,552.06,20.4,7.5,100.8,9.8,2105.53,35.47
잣죽,죽류,700,g,-,-,874.482,19.179,19.629,155.275,2.362,878.813,0
참치죽,죽류,800,g,-,-,659.599,24.194,16.062,104.566,1.36,1342.403,39.963
고등어찌개,찌개류,600,g,-,-,601.62,48.9,33.7,25.6,7.4,2584.06,156.06
김치찌개,찌개류,400,g,-,-,243.032,15.069,15.005,11.929,3.025,1962.142,25.178
꽁치찌개,찌개류,300,g,-,-,355,24,23.3,12.2,5.9,1296.4,63.32
두부전골,찌개류,500,g,-,-,315.16,25.6,16.1,17.1,3.5,1650.77,8.85
버섯찌개,찌개류,400,g,-,-,167.56,14.7,5.2,15.4,4.4,1293.87,16.55
부대찌개,찌개류,600,g,-,-,399.5,18.4,18.6,39.7,6.2,2321.9,52.54
새우젓두부찌개,찌개류,300,g,-,-,166,16.2,8.1,7.2,1.7,1123.08,10.71
소곱창전골,찌개류,600,g,-,-,529,41.6,27.3,29.2,2.3,1779.63,453.19
햄김치찌개,찌개류,300,g,-,-,189,11.1,10.4,12.7,3.6,1583.05,29.12
호박찌개,찌개류,300,g,-,-,95,5.6,2.6,12.2,5.8,1024.11,9.26
대구찜,찜류,500,g,-,-,376.42,51.7,7.9,24.7,5.7,1898.67,263.32
도미찜,찜류,100,g,-,-,125.506,22.996,3.485,0.54,0,839.962,99.008
동태찜,찜류,500,g,-,-,394.32,50.9,9.7,25.8,5.7,1985.6,284.22
돼지등갈비찜,찜류,450,g,-,-,961.04,72.1,49.2,57.4,24.1,2395.17,199.57
돼지머리고기,찜류,200,g,-,-,650,42.4,52,3.5,0.1,333.64,171.1
매운갈비찜,찜류,300,g,-,-,517.44,61.3,19.7,23.7,10.7,1138.51,163.29
문어숙회,찜류,80,g,-,-,66.914,14.862,0.505,0.73,0,208.33,140.113
민어찜,찜류,100,g,-,-,136.878,21.474,5.914,0,0,1089.435,97.768
병어찜,찜류,100,g,-,-,179.688,18.857,11.515,0.157,0,650.975,71.921
북어찜,찜류,150,g,-,-,235,28.1,5.7,18,6.4,900.98,153.1
붕어찜,찜류,1100,g,-,-,835.6,54.3,36.9,71.6,16.2,3952.03,186.23
소갈비찜,찜류,250,g,-,-,494.599,49.86,26.956,13.138,4.317,753.635,141.483
순대 ,찜류,300,g,-,-,542.415,19.561,25.636,58.362,3.499,1019.194,19.216
아구찜,찜류,400,g,-,-,310.871,48.302,5.309,17.471,0.689,1406.204,389.134
아구찜,찜류,750,g,-,-,492.32,65.4,6.5,43.1,8.2,3425.72,420.21
안동찜닭,찜류,1500,g,-,-,1364.21,114.2,38.8,139.5,66.8,5462.32,450.42
전어찜,찜류,100,g,-,-,278.218,17.275,22.97,0.597,0,447.401,97.877
조기찜,찜류,100,g,-,-,182.118,20.058,10.59,1.642,0,602.033,138.433
참꼬막,찜류,80,g,-,-,90.787,12.472,2.503,4.592,0,234.163,65.032
한방오리백숙,찜류,300,g,-,-,469.532,68.79,20.104,3.358,0.351,276.43,372.069
해물찜,찜류,500,g,-,-,400.08,42.6,9.8,35.4,5.5,2137.21,419.16
홍어찜,찜류,250,g,-,-,202.669,47.12,1.034,1.221,1.221,644.958,235.123
갈낙탕,탕류,400,g,-,-,261.77,35.8,12.8,0.8,1.3,847.97,209.08
곰탕,탕류,300,g,-,-,183.25,19.4,3.7,18.1,0.5,716.36,50.41
광어매운탕,탕류,600,g,-,-,419.793,58.417,16.621,9.133,1.421,1799.022,375.051
낙지탕,탕류,600,g,-,-,187.8,29.4,3.2,10.4,1.9,1704.69,292.42
대구매운탕,탕류,600,g,-,-,361.747,57.361,7.214,16.844,1.094,1983.9,516.745
대구지리탕,탕류,600,g,-,-,262.02,41.6,6.2,9.9,1.5,1476.25,283.08
메기매운탕,탕류,600,g,-,-,400,28.6,10.2,48.6,5.7,1859.96,137.36
복지리탕,탕류,600,g,-,-,232.05,41.7,2.7,10.3,1.4,1349.98,209.78
소탕,탕류,150,g,-,-,86.369,7.657,5.35,1.898,0.029,353.591,0
아구탕,탕류,600,g,-,-,246.07,37.8,4.9,12.8,1.8,1863.34,318.93
어탕,탕류,150,g,-,-,85.87,12.699,3.09,1.817,0,485.081,52.565
연포탕,탕류,1000,g,-,-,541.644,94.902,9.03,20.191,0.228,2337.456,1057.461
우럭매운탕,탕류,600,g,-,-,406.816,52.146,17.032,11.235,1.079,1773.882,362.772
육탕,탕류,150,g,-,-,87.633,12.661,3.954,0.351,0,356.942,43.786
전복탕,탕류,600,g,-,-,196.85,26.8,3,15.8,1.3,1774.4,291.38
조기매운탕,탕류,600,g,-,-,384.38,35.1,19.4,17.3,4.3,2272.92,274.17
짱뚱어탕,탕류,600,g,-,-,188.77,11.5,8.5,16.6,2.4,2050.9,22.22
추어탕,탕류,1000,g,-,-,316.72,22.7,13.2,26.8,0,2635.78,90.31
해물탕,탕류,600,g,-,-,267.81,39.8,4.7,16.6,0.8,2046.24,469.49
고구마맛탕,튀김류,200,g,-,-,491,3.3,11,94.6,38.7,76.93,0
고구마튀김,튀김류,100,g,-,-,252.964,2.723,11.874,33.802,7.715,148.41,20.835
고추튀김,튀김류,100,g,-,-,202,7.6,12.6,14.6,2.3,249.15,35.91
닭튀김,튀김류,300,g,-,-,903,65.2,49.7,48.8,1.5,1244.48,177.93
등심돈가스,튀김류,200,g,-,-,623.828,32.992,37.545,38.489,3.66,574.078,98.162
모래집튀김,튀김류,150,g,-,-,468.37,28.1,26.6,29.1,1.8,322.44,251.91
미꾸라지튀김,튀김류,100,g,-,-,387.487,10.887,25.391,28.855,0.304,324.467,50.146
생선까스,튀김류,200,g,-,-,653.441,24.334,41.096,46.56,1.958,788.623,72.723
안심돈가스,튀김류,200,g,-,-,651.755,33.281,42.402,34.253,2.772,551.554,105.474
양념치킨,튀김류,200,g,-,-,552,35.5,26.8,42.3,12.5,805.49,137.79
쥐포튀김,튀김류,100,g,-,-,356.912,9.617,16.493,42.502,7.962,717.025,28.702
치즈돈가스,튀김류,250,g,-,-,755.369,42.02,46.693,41.764,3.57,870.769,98.808
치킨까스,튀김류,200,g,-,-,592.998,27.913,33.918,44.021,4.154,779.271,72.97
대구포,포류,100,g,-,-,140.842,31.966,0.404,2.335,0,3875.954,107.147
북어포,포류,20,g,-,-,66.463,15.423,0.389,0.317,0.221,128.994,85.025
매작과,한과류,30,g,-,-,123.861,2.254,3.946,19.833,4.927,29.832,10.025
산자,한과류,30,g,-,-,109.711,0.693,0.926,24.652,9.404,6.86,0
송화다식,한과류,30,g,-,-,110.827,2.489,1.345,22.192,7.996,4.044,0
약과,한과류,30,g,-,-,119.731,1.259,1.425,25.467,5.066,17.19,0
유과,한과류,30,g,-,-,127.091,0.842,3.85,22.269,7.244,6.843,0
글램핑 바비큐(오리지널 L),피자류,157,g,157,0,410,17,-,-,10,744,-
글램핑 바비큐(나폴리M),피자류,127,g,127,0,328,15,-,-,8,644,-
글램핑 바비큐(나폴리L),피자류,126,g,126,0,312,16,-,-,10,734,-
글램핑 바비큐(씬 M),피자류,105,g,105,0,266,13,-,-,8,596,-
글램핑 바비큐(씬 L),피자류,103,g,103,0,273,13,-,-,9,591,-
글램핑 바비큐(슈퍼시드 함유 도우M),피자류,172,g,172,0,485,24,-,-,14,1006,-
글램핑 바비큐(슈퍼시드 함유 도우L),피자류,156,g,156,0,392,19,-,-,11,741,-
글램핑 바비큐 더블치즈엣지(오리지널 M),피자류,129,g,129,0,330,16,-,-,10,611,-
글램핑 바비큐 더블치즈엣지(오리지널 L),피자류,196,g,196,0,489,25,-,-,11,1071,-
더블크러스트 이베리코(더블 크러스트 L),피자류,152,g,152,0,387,19,-,-,9,844,-
더블크러스트 이베리코(더블 크러스트 M),피자류,130,g,130,0,345,12,-,-,10,465,-
리얼불고기(오리지널 L),피자류,164,g,164,0,420,14,-,-,14,564,-
리얼불고기(오리지널 M),피자류,115,g,115,0,280,13,-,-,5,520,-
