식품명,식품군명,1회제공량,내용량_단위,총내용량(g),총내용량(mL),에너지(㎉),단백질(g),지방(g),탄수화물(g),총당류(g),나트륨(㎎),콜레스테롤(㎎)
유어스 단호박우유,유가공품,250,g,250,-,175,5.5,5.5,27,27,90,15
건강한 사탕수수 우유,유가공품,220,g,220,-,180,4,8,23,20,120,20
얼려먹으니 더 좋은 바나나우유,유가공품,100,g,300,-,110,2,5,14,13,60,10
얼려먹으니 더 좋은 초코우유,유가공품,100,g,300,-,115,2,5,15,14,60,10
밀크티에 초코를 넣어봄,유가공품,250,g,250,-,185,7.2,3.7,31,29,115,10
얼려먹으니 더 좋은 수박우유,유가공품,100,g,300,-,115,2,5,15,14,60,10
연세 커피 우유,유가공품,200,g,200,-,110,3,3,17,6,100,7
덴마크 츄썸 바나나,유가공품,180,g,180,-,150,3,4.5,24,18,115,15
바바파파 딸기우유,유가공품,270,g,270,-,230,6,8,33,21,115,10
유어스 말차우유,유가공품,250,g,250,-,180,5.7,5.3,27,27,100,15
신묘한 초코라떼,유가공품,250,g,250,-,210,6,6,33,28,65,15
남양 내가 아는 그 고급진 생초콜릿 드링크,유가공품,180,g,180,-,170,5,6,24,20,70,15
초코라떼,유가공품,200,g,200,-,130,5,2.7,21,16,75,10
UYLIAN 오리지널,유가공품,250,g,250,-,235,8,10,28,22,80,15
어른우유 검은콩미숫가루,유가공품,250,g,250,-,220,7,7,33,22,75,20
오트밀크,유가공품,225,g,225,-,200,8.5,7,26,11,70,27
옳은 유기농바나나우유,유가공품,120,g,120,-,100,3.6,4,12,12,55,15
사과 우유,유가공품,300,g,300,-,215,5,5,37,34,95,20
알밤라떼,유가공품,300,g,300,-,255,6,6,44,36,80,20
미키 초코우유 / 냉장,유가공품,270,g,270,-,250,7,8,38,33,120,15
고구마라떼,유가공품,300,g,300,-,215,6,6,34,28,55,20
말랑카우 라떼,유가공품,300,g,300,-,235,7,6.5,37,33,150,15
초코열매우유,유가공품,200,g,300,-,180,6,6,26,25,120,23
ROYAL MILK TEA oriinal dark/오리지널 다크,유가공품,200,g,500,-,156,6,6.8,18,10,94,18
기묘한 딸기코코넛,유가공품,250,g,250,-,265,5,11,36,28,105,15
갈아만든 아몬드우유,유가공품,100,g,730,-,85,3.2,3.5,10,10,45,10
미니언즈 초코우유,유가공품,270,g,270,-,280,11,4,50,37,190,24
미니 딸기우유 / 냉장,유가공품,270,g,270,-,210,6,7,31,27,100,20
딸기열매우유,유가공품,200,g,300,-,175,5,4.5,28,27,120,10
정말 초코우유,유가공품,200,g,200,-,140,22,3.8,22,22,80,10
카페라떼 카라멜 마끼아또,유가공품,220,g,220,-,150,4,4.4,23,21,110,20
수박우유,유가공품,200,g,300,-,165,6,2.6,29,11,85,10
열대열매우유,유가공품,200,g,300,-,160,5,5,24,18,110,25
정말 딸기우유,유가공품,200,g,200,-,110,6,4.6,12,12,80,20
달밤라떼,유가공품,100,g,100,-,83,2,2,15,7,25,5
정말 바나나우유,유가공품,200,g,200,-,130,6,6,14,14,80,20
어른우유 믹스너츠,유가공품,250,g,250,-,245,7,8,36,23,80,25
위드맘 첫우유(팩),유가공품,125,g,125,-,84,3,3.9,9,9,50,15
ROYAL MILK TEA earl rey blendin/얼그레이 블랜딩,유가공품,200,g,500,-,205,7,7,29,16,92,18
상하목장 유기농 베이비 요구르트 플레인,유가공품,85,g,85,-,75,2.7,4.9,5,4,45,15
상하목장 유기농 베이비 요구르트 사과당근,유가공품,85,g,85,-,85,2.3,4.2,9,6,35,15
상하목장 유기농 베이비 요구르트 딸기바나나,유가공품,85,g,85,-,85,2.3,4.2,9,6,45,15
비락 위요,유가공품,150,g,150,-,155,0,4.5,23,1.6,90,15
떠먹는 불가리스 딸기,유가공품,85,g,85,-,80,3,24,11,10,50,10
헬리코박터 프로젝트 윌(Will),유가공품,150,g,150,-,140,5,4.9,21,13,90,25
비피더스 명장사과,유가공품,140,g,140,-,55,2,0,12,12,105,5
야쿠르트라이트,유가공품,65,g,65,-,35,1,0,8,5,15,0
남양 요구르트,유가공품,65,g,65,-,30,0.7,0,7,7,15,0
서울우유요구르트,유가공품,65,g,65,-,45,0.7,0,10,9,15,0
비피더스 명장포도,유가공품,140,g,140,-,60,2,0,13,12,105,5
새코미,유가공품,65,g,65,-,40,1,0,9,7,13,0
요플레 바이오플레 사과,유가공품,140,g,140,-,70,2,0,16,11,130,3
매일 요구르트 플레인,유가공품,65,g,65,-,45,1,0,10,9,15,0
엔요,유가공품,100,g,100,-,45,1,0,10,8,20,0
헬리코박터 프로젝트 윌(Will) 저지방,유가공품,150,g,150,-,115,6,2.2,20,11,90,20
비피더스 사과,유가공품,130,g,130,-,55,2,0.5,11,7,50,5
빙그레요구르트,유가공품,65,g,65,-,45,0.7,0,10,9,15,0
자연의 시작 불가리스 사과,유가공품,150,g,150,-,135,5,4,21,11,85,16
한번에 1000억 프로바이오틱 사과,유가공품,100,g,130,-,40,0.8,0,8.8,6.8,16,0
덴마크드링킹 요구르트 딸기,유가공품,150,g,310,-,125,5,4,17,16,80,15
요플레 플레인,유가공품,85,g,85,-,85,3,2.4,12.5,10.5,50,10
남양 이오,유가공품,80,g,80,-,40,1,0,9,6.3,15,0
비요뜨초코링,유가공품,143,g,143,-,210,7,8,28,19,140,5
런(Run),유가공품,120,g,120,-,54,3.8,0,11,5.5,55,3
요플레 오리지널,유가공품,85,g,85,-,85,3,2.5,13,11,50,10
패밀리 요구르트,유가공품,80,g,750,-,60,1,0,14,12,20,0
장건강프로바이오틱 사과,유가공품,150,g,150,-,130,5,1,25,14,70,5
생크림 요거트,유가공품,85,g,85,-,119,3,7,11,9,40,18
덴마크드링킹요구르트 베리믹스,유가공품,150,g,310,-,130,5,4.5,18,18,90,15
덴마크드링킹요구르트 플레인,유가공품,150,g,310,-,115,5,4,15,11,90,20
비피더스 블루베리,유가공품,130,g,130,-,55,2,0.5,11,7,50,5
요플레 클래식,유가공품,85,g,85,-,85,3,2.5,12,8.5,60,8
바이오 프로바이오틱 플레인 요거트,유가공품,100,g,450,-,75,4.5,4,5,4,70,15
불가리스 위쎈,유가공품,150,g,150,-,145,5,4.5,21,12,88,20
떠먹는 불가리스 복숭아,유가공품,85,g,85,-,80,3,2.4,11,10,50,10
덴마크 드링킹 요구르트 복숭아,유가공품,150,g,310,-,125,5,4,17,11,90,20
비피더스명장 베리믹스,유가공품,140,g,140,-,55,2,0,12,11,105,5
한번에 1000억 프로바이오틱 포도,유가공품,100,g,130,-,40,0.8,0,8.8,6.8,16,0
슈퍼100 딸기,유가공품,90,g,90,-,85,3,2,14,12,45,9
덴마크드링킹요구르트 사과,유가공품,150,g,310,-,130,5,4.5,18,18,90,15
비피더스 포도,유가공품,130,g,130,-,55,1.7,0.4,11,7,40,5
아이러브요거트 컵 플레인,유가공품,80,g,80,-,65,3,1.8,10,8,50,5
아이러브요거트 컵 딸기,유가공품,80,g,80,-,65,3,1.6,10,8,50,5
그릭요거트 플레인,유가공품,80,g,450,-,125,4.8,6.2,12,12,90,25
마시는 요구르트,유가공품,65,g,65,-,30,0.7,0,6,4,20,0
농협요구르트,유가공품,65,g,65,-,20,1,0,2,4,1,0
파스퇴르 쾌변사과,유가공품,150,g,150,-,160,5,4.5,28,14,80,10
액티비아 컵 플레인,유가공품,80,g,80,-,65,3,1.9,9,6,60,10
건국요구르트,유가공품,60,g,60,-,45,0.7,0,10,9,15,0
