오징어야채무침,오징어무침,
간장마늘삼겹볶음,돼지고기볶음,
돈가스덮밥,돼지고기덮밥,
풋고추쌈장무침,쌈장,
홍합탕,바지락조개국,
오징어매콤잡채,잡채,
바지락미역국,미역국,
황태채무침,황태구이,
방어순살탕수,고등어튀김,
표고버섯어묵조림,어묵볶음,
사과주스,(수)델몬트사과주스100,
찰보리밥,보리밥,
들깨미역국,종가반상버섯들깨미역국,
젤리,구미베어 구미젤리,
감자매운조림,감자조림,
콩나물무채국,콩나물국,
꽈리고추건새우볶음,꽈리고추멸치볶음,
콩나물매운무침,콩나물무침,
무국,소고기무국,
닭고기양배추볶음,닭볶음,
시금치무침,시금치나물,
북어채국,북엇국,
호박볶음,"호박, 애호박, 데친것",
양념통닭,오븐구이통닭,
양파피클,피클모듬세트,
바나나맛우유,빙그레 바나나맛 우유,
새송이버섯야채볶음,새송이버섯볶음,
쇠고기불고기,불고기,
계란장조림,달걀장조림,
대추방울토마토,"토마토, 방울토마토, 생것",
순두부국,순두부찌개,
오징어채간장볶음,오징어채볶음,
삼치순살튀김,삼치구이,
찰보리비빔밥,돌솥비빔밥,
시금치국,된장국,
갑오징어야채볶음,오징어볶음,
삶은계란,삶아서 깐 계란,
가지볶음,가지나물,
명태순살조림,갈치조림,
배추된장무침,배추겉절이,
모듬쌈,"쌈추, 생것",
"풋고추,된장",된장,
생선묵찌개,어묵국,
꽁치김치조림,꽁치조림,
과일,하루야채과일,
유산균발효유,요구르트,
돈육표고장조림,돼지고기볶음,
두부강정,두부조림,
해물된장찌개,된장찌개,
게맛살볶음,게맛살,
쭈꾸미볶음,주꾸미볶음,
임시,,/////
버섯된장찌개,된장찌개,
돼지고기가지볶음,돼지고기볶음,
닭순살피망볶음,닭볶음,
버섯잡채,잡채,
데리야끼갈릭치킨,데리야끼치킨,
깻잎볶음,깻잎찜,
고등어순살조림,고등어조림,
고등어카레튀김,고등어튀김,
"견과,혼합식",초코&견과바,
돼지고기수육,돼지고기 수육,
버섯매운탕,들깨버섯탕,
아이스크림샌드위치,아이스크림,
무두부조개탕,바지락조개국,
감자풋고추볶음,고추볶음,
강된장찌개,된장찌개,
콩나물매운잡채,콩나물잡채,
전복삼계탕,삼계탕,
돼지고기육개장,소고기육개장,
조밥,차조밥,
갈치순살튀김,갈치구이,
돼지고기청경채볶음,돼지고기볶음,
과일,하루채소과일,
생선묵김치찌개,어묵김치찌개,
닭고기야채조림,닭조림,
피망잡채,잡채,
쇠고기호박찌개,호박찌개,
두부김치국,김치국,
표고버섯돼지고기볶음,돼지고기볶음,
마파두부덮밥,마파두부,
쇠고기갈비찜,소갈비찜,
건새우아욱된장국,아욱된장국,
가지무침,"가지, 생것",
조개국,바지락조개국,
도라지오이무침,도라지오이생채,
된장국,미소된장국,
방울토마토,"토마토, 생것",
생선묵꽈리고추볶음,어묵볶음,
감자채볶음,감자볶음,
명태순살강정,명태미니,
순두부해물찌개,순두부찌개,
쇠고기팽이버섯떡볶음,죽순쇠고기볶음,
돼지갈비김치찜,돼지갈비찜,
오이고추장무침,오이부추무침,
모듬야채,하루야채과일,
쇠고기파프리카볶음,쇠고기볶음,
순두부계란찜,계란연두부,
팽이버섯국,버섯찌개,
닭매운찜,닭볶음,
소시지찌개,부대찌개,
해물찌개,해물매운탕,
버섯호박볶음,새송이 버섯볶음,
꽁치튀김,꽁치구이,
전투식량2형2식단,,////
방어순살조림,"방어, 구운것",
콩나물두부국,공나물국,
닭고기튀김,치킨 데리야끼,
두부고추장볶음,두부조림,
닭고기감자조림,닭볶음탕,
오리갈릭구이칠리소스,훈제오리,
쇠고기배추볶음,쇠고기볶음,
비엔나소시지케찹볶음,소시지볶음,
매운소시지떡볶음,소시지볶음,
가공우유,우유,
생선묵고추장볶음,어묵볶음,
전투식량2형3식단,,////
냉동과일,하루채소과일,
과일샐러드,하루채소과일,
굴튀김,굴전,
연근튀김,연근조림,
오징어야채비빔밥,비빔밥,
오리들깨탕,오리탕,
깐풍고등어,고등어구이,
느타리버섯국,버섯찌개,
생선묵김치볶음,어묵볶음,
피망멸치볶음,멸치볶음,
버섯강정,버섯조림,
연두부양념장,순두부,
새우살브로콜리볶음,새우볶음,
쑥갓상추겉절이,상추겉절이,
쇠고기두부찜,소갈비찜,
배추쇠고기국,소고기무국,
오이양파짱아찌,오이장아찌,
브로콜리돼지고기볶음,돼지고기볶음,
열무된장국,미소된장국,
상추쌈&저염쌈장,쌈장,
쇠고기감자국,소고기무국,
오징어콩나물국,콩나물국,
부추표고버섯볶음,표고버섯볶음,
닭고기매운조림,닭볶음,
